VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract;Descuentos;Precio Final
3C3CFFGE4E;Yakima;Yakima;WA;98902;2014;FIAT;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87;44100;14;1593721;POINT (-120.524012 46.5973939);PACIFICORP;53077000700;8680;35420
5YJXCBE40H;Thurston;Olympia;WA;98513;2017;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;200;69900;2;257167501;POINT (-122.817545 46.98876);PUGET SOUND ENERGY INC;53067012331;11254;58646
3MW39FS03P;King;Renton;WA;98058;2023;BMW;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20;69900;11;224071816;POINT (-122.1298876 47.4451257);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025803;9696;60204
7PDSGABA8P;Snohomish;Bothell;WA;98012;2023;RIVIAN;R1S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;21;260084653;POINT (-122.1873 47.820245);PUGET SOUND ENERGY INC;53061051927;8830;44070
5YJ3E1EB8L;King;Kent;WA;98031;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;322;59900;33;253771913;POINT (-122.2012521 47.3931814);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029305;19679;40221
5UX43EU02R;Kitsap;Poulsbo;WA;98370;2024;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;39;36800;23;259427829;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035940100;7127;29673
2C4RC1H7XJ;Kitsap;Port Orchard;WA;98367;2018;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33;69900;26;477087012;POINT (-122.6847073 47.50524);PUGET SOUND ENERGY INC;53035092902;12257;57643
1G1FX6S01H;Kitsap;Poulsbo;WA;98370;2017;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;59900;23;214494213;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035090502;22854;37046
5YJ3E1EA2J;Kitsap;Port Orchard;WA;98366;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;69900;26;280785123;POINT (-122.639265 47.5373);PUGET SOUND ENERGY INC;53035092400;24750;45150
WBY7Z6C59J;King;Duvall;WA;98019;2018;BMW;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;114;44100;45;129133343;POINT (-121.9810747 47.7377962);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032402;9677;34423
7SAYGDEE9P;Thurston;Olympia;WA;98502;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;22;256162448;POINT (-122.92145 47.045935);PUGET SOUND ENERGY INC;53067012002;18331;51569
KNDCE3LGXK;King;Bellevue;WA;98006;2019;KIA;NIRO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;239;69900;41;102023603;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024800;20244;49656
5YJYGDEE1L;King;Seattle;WA;98112;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;44100;43;110743468;POINT (-122.30764 47.62523);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033006400;5214;38886
